	номер карты	месяц	год	владелец	cvc
1	- неверный номер карты	//        - месяц больше 12	//        - год больше текущего	//        - кириллица вместо латиницы в поле Владелец	//        - латиница вместо цифр в поле CVC/CVV код
2	- неверный номер карты	//        - месяц 0	//        - латиница вместо цифр в поле год	//        - цифры вместо букв в поле Владелец	//        - кириллица вместо цифр в поле CVC/CVV код
3	- неверный номер карты	//        - латиница вместо цифр в поле месяц	//        - кириллица вместо цифр в поле год	//        - только имя в поле владелец	//        - спецсимволы в поле CVC/CVV код
4	- неверный номер карты	//        - кириллица вместо цифр в поле месяц	//        - пустые данные	//        - фамилия, имя + излишнее отчество	//        - пустые данные
5	- неверный номер карты	//        - пустые данные	//        - неверный номер года действия карты	//        - спецсимволы в поле владелец	//        - 2 цифры в поле CVC/CVV код
6	//        - номер карты с 1 цирой	//        - месяц больше 12	//        - латиница вместо цифр в поле год	//        - только имя в поле владелец	//        - пустые данные
7	//        - номер карты с 1 цирой	//        - месяц 0	//        - кириллица вместо цифр в поле год	//        - фамилия, имя + излишнее отчество	//        - 2 цифры в поле CVC/CVV код
8	//        - номер карты с 1 цирой	//        - латиница вместо цифр в поле месяц	//        - пустые данные	//        - спецсимволы в поле владелец	//        - латиница вместо цифр в поле CVC/CVV код
9	//        - номер карты с 1 цирой	//        - кириллица вместо цифр в поле месяц	//        - неверный номер года действия карты	//        - пустые данные	//        - 2 цифры в поле CVC/CVV код
10	//        - номер карты с 1 цирой	//        - пустые данные	//        - год больше текущего	//        - неверное заполненное латиницей поле Владелец	//        - латиница вместо цифр в поле CVC/CVV код
11	//        - номер карты с 1 цирой	//        - неверный номер месяца действия карты	//        - неверный номер года действия карты	//        - кириллица вместо латиницы в поле Владелец	//        - кириллица вместо цифр в поле CVC/CVV код
12	//        - номер карты с 1 цирой	//        - неверный номер месяца действия карты	//        - год больше текущего	//        - цифры вместо букв в поле Владелец	//        - спецсимволы в поле CVC/CVV код
13	//        - номер карты с 15 цифрами	//        - месяц 0	//        - пустые данные	//        - пустые данные	//        - латиница вместо цифр в поле CVC/CVV код
14	//        - номер карты с 15 цифрами	//        - латиница вместо цифр в поле месяц	//        - неверный номер года действия карты	//        - неверное заполненное латиницей поле Владелец	//        - кириллица вместо цифр в поле CVC/CVV код
